name,iata,icao,lat,lng,rank2000,total2000,pchange2000,rank2001,total2001,rchange2001,pchange2001,rank2002,total2002,rchange2002,pchange2002,rank2003,total2003,rchange2003,pchange2003,rank2004,total2004,rchange2004,pchange2004,rank2005,total2005,rchange2005,pchange2005,rank2006,total2006,rchange2006,pchange2006,rank2007,total2007,rchange2007,pchange2007,rank2008,total2008,rchange2008,pchange2008,rank2009,total2009,rchange2009,pchange2009,rank2010,total2010,rchange2010,pchange2010,rank2011,total2011,rchange2011,pchange2011,rank2012,total2012,rchange2012,pchange2012,rank2013,total2013,rchange2013,pchange2013,rank2014,total2014,rchange2014,pchange2014,rank2015,total2015,rchange2015,pchange2015
Shanghai Hongqiao International Airport,SHA,ZSSS,31.19790077000,121.33599850000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,47,25078548,Increase?,Increase9.6%,41,31298812,Increase6,,39,33112442,Increase2,Increase5.5%,39,33828726,Steady,Increase2.2%,36,35599643,Increase3,Increase5.3%,37,37971135,Decrease1,Increase6.7%,42,39090699,Decrease5,Increase3.0%
Ninoy Aquino International Airport,MNL,RPLL,14.50860000000,121.01999700000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,49,27148724,Increase?,,46,29551394,Increase3,Increase8.1%,45,31878935,Increase1,Increase7.9%,45,32856597,Steady,Increase3.1%,49,34015169,Decrease4,Increase3.5%,49,36583459,Steady,Increase7.3%
Guarulhos - Governador André Franco Montoro International Airport,GRU,SBGR,-23.43555641000,-46.47305679000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,47,27432346,Increase?,,45,30371131,Increase2,Increase9.7%,43,32477646,Increase2,Increase6.9%,33,36460923,Increase10,Increase10.6%,30,39765714,Increase3,Increase9.9%,41,39213865,Decrease11,Decrease1.4%
Chengdu Shuangliu International Airport,CTU,ZUUU,30.57850075000,103.94699860000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,47,29073990,Increase4,Increase11.2%,46,31599353,Increase1,Increase8.7%,44,33445817,Increase2,Increase5.8%,38,37712357,Increase6,Increase12.8%,32,42244842,Increase6,Increase12.0%
Narita International Airport,NRT,RJAA,35.76470184000,140.38600160000,0,,,30,25379370,Increase?,Decrease7.3%,25,28883606,Increase5,Increase13.8%,26,26537406,Decrease1,Decrease8.1%,25,31057252,Increase1,Increase17.0%,27,31451274,Decrease2,Increase1.3%,23,34975225,Increase4,Increase11.3%,24,35478146,Decrease1,Increase1.4%,31,33486511,Decrease6,Decrease5.6%,33,32135191,Decrease2,Decrease4.0%,32,33815906,Increase1,,0,,,,42,32874530,Increase?,Increase17.2%,38,35341341,Increase4,Increase7.6%,45,35535206,Decrease7,Increase0.6%,48,37268307,Decrease3,Increase4.9%
Licenciado Benito Juarez International Airport,MEX,MMMX,19.43630000000,-99.07209800000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,43,26210217,?,Increase1.3%,50,24243056,Decrease7,Decrease7.5%,0,,,,0,,,,0,,,,49,31534638,Increase,Increase6.9%,48,34255739,Increase1,Increase8.6%,45,38433288,Increase3,Increase12.2%
Taiwan Taoyuan International Airport,TPE,RCTP,25.07770000000,121.23300200000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,42,35804465,Increase,Increase11.2%,44,38473333,Decrease2,Increase7.5%
Kunming Changshui International Airport,KMG,ZPPP,25.10194440000,102.92916670000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,46,37523345,Increase?,Increase16.0%
Domodedovo International Airport,DME,UUDD,55.40879822000,37.90629959000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,50,30765078,Increase,Increase9.2%,50,33108047,Steady,Increase7.3%,0,,,
Detroit Metropolitan Wayne County Airport,DTW,KDTW,42.21239853000,-83.35340118000,16,35535080,Increase4.6,18,32294121,Decrease2,Decrease9.1%,17,32477694,Increase1,Increase0.5%,16,32664620,Increase1,Increase0.6%,19,35187517,Decrease3,Increase7.7%,20,36389294,Decrease1,Increase3.2%,20,35972673,Steady,Decrease1.1%,22,35983478,Decrease2,Increase0%,24,35135828,Decrease2,Decrease2.4%,35,31357388,Decrease11,Decrease10.8%,36,32377064,Decrease1,,42,32419181,Decrease6,Increase0.1%,44,32205358,Decrease2,Decrease0.7%,46,32389544,Decrease2,Increase0.6%,0,,,,0,,,
